time,USEmbassy,RenkeLUMS,PAirGardenTown,PAirDHAPhase2,PAirAnarkali,PAirHarbanspura,PAirDefenceChowk,PAirIqbalTown,PAirAkbarChowk,PAirTownship,MetStation,DentalCollege,EPAGulberg
4/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.213,-1,-1
4/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.807,-1,-1
4/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.613,-1,-1
4/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.57,-1,-1
4/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67.241,-1,-1
4/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.717,-1,-1
4/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.377,-1,-1
4/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.29,-1,-1
4/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.854,-1,-1
4/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.759,-1,-1
4/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.531,-1,-1
4/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.946,-1,-1
4/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49.935,-1,-1
4/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64.148,-1,-1
4/29/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.074,-1,-1
4/30/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.23,-1,-1
5/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.125,-1,-1
5/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.35,-1,-1
5/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.898,-1,-1
5/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.268,-1,-1
5/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.737,-1,-1
5/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.288,-1,-1
5/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.447,-1,-1
5/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.937,-1,-1
5/9/2019,166.4095238,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.763,-1,-1
5/10/2019,95.825,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.086,-1,-1
5/11/2019,150.6416667,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.742,-1,-1
5/12/2019,120.9791667,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.112,-1,-1
5/13/2019,130.7083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.361,-1,-1
5/14/2019,60.02083333,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.71,-1,-1
